CONTAINER ID,NAME,CPU %,MEM USAGE (B),MEM LIMIT (B),MEM %,NETWORK IN (kB),NETWORK OUT (kB),BLOCK IN (kB),BLOCK OUT (kB),PIDS
4792b602a5f2,sfe_laptop,0.00%,495.2MiB,1.938GiB,24.95%,45.4MB,44.8MB,0B,2.42MB,8
3c8ef68fae4f,sfe_drone,100.44%,492.5MiB,1.938GiB,24.81%,44.8MB,45.4MB,0B,2.24MB,5
4792b602a5f2,sfe_laptop,0.00%,495.2MiB,1.938GiB,24.95%,45.4MB,44.8MB,0B,2.42MB,8
3c8ef68fae4f,sfe_drone,107.66%,1.871MiB,1.938GiB,0.09%,44.9MB,45.5MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,77.43%,4.867MiB,1.938GiB,0.25%,45.5MB,44.9MB,0B,2.55MB,6
3c8ef68fae4f,sfe_drone,107.66%,1.871MiB,1.938GiB,0.09%,44.9MB,45.5MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,77.43%,4.867MiB,1.938GiB,0.25%,45.5MB,44.9MB,0B,2.55MB,6
3c8ef68fae4f,sfe_drone,17.83%,2.41MiB,1.938GiB,0.12%,44.9MB,45.5MB,0B,2.38MB,7
4792b602a5f2,sfe_laptop,99.40%,5.836MiB,1.938GiB,0.29%,45.5MB,44.9MB,0B,2.55MB,12
3c8ef68fae4f,sfe_drone,17.83%,2.41MiB,1.938GiB,0.12%,44.9MB,45.5MB,0B,2.38MB,7
4792b602a5f2,sfe_laptop,99.40%,5.836MiB,1.938GiB,0.29%,45.5MB,44.9MB,0B,2.55MB,12
3c8ef68fae4f,sfe_drone,97.29%,24.89MiB,1.938GiB,1.25%,45.1MB,45.6MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,112.51%,28.05MiB,1.938GiB,1.41%,45.6MB,45.1MB,0B,2.55MB,12
3c8ef68fae4f,sfe_drone,97.29%,24.89MiB,1.938GiB,1.25%,45.1MB,45.6MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,112.51%,28.05MiB,1.938GiB,1.41%,45.6MB,45.1MB,0B,2.55MB,12
3c8ef68fae4f,sfe_drone,107.14%,41.53MiB,1.938GiB,2.09%,45.2MB,45.7MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,66.85%,46.43MiB,1.938GiB,2.34%,45.7MB,45.2MB,0B,2.55MB,6
3c8ef68fae4f,sfe_drone,107.14%,41.53MiB,1.938GiB,2.09%,45.2MB,45.7MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,66.85%,46.43MiB,1.938GiB,2.34%,45.7MB,45.2MB,0B,2.55MB,6
3c8ef68fae4f,sfe_drone,47.51%,46.65MiB,1.938GiB,2.35%,45.3MB,45.8MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,101.56%,51.37MiB,1.938GiB,2.59%,45.8MB,45.3MB,0B,2.55MB,12
3c8ef68fae4f,sfe_drone,47.51%,46.65MiB,1.938GiB,2.35%,45.3MB,45.8MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,101.56%,51.37MiB,1.938GiB,2.59%,45.8MB,45.3MB,0B,2.55MB,12
3c8ef68fae4f,sfe_drone,106.70%,57.64MiB,1.938GiB,2.90%,45.3MB,45.8MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,104.14%,60.44MiB,1.938GiB,3.04%,45.8MB,45.3MB,0B,2.55MB,6
3c8ef68fae4f,sfe_drone,106.70%,57.64MiB,1.938GiB,2.90%,45.3MB,45.8MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,104.14%,60.44MiB,1.938GiB,3.04%,45.8MB,45.3MB,0B,2.55MB,6
3c8ef68fae4f,sfe_drone,107.00%,78.78MiB,1.938GiB,3.97%,45.4MB,46MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,107.31%,76.9MiB,1.938GiB,3.87%,46MB,45.4MB,0B,2.55MB,12
3c8ef68fae4f,sfe_drone,107.00%,78.78MiB,1.938GiB,3.97%,45.4MB,46MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,107.31%,76.9MiB,1.938GiB,3.87%,46MB,45.4MB,0B,2.55MB,12
3c8ef68fae4f,sfe_drone,107.19%,97.14MiB,1.938GiB,4.89%,45.6MB,46.1MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,77.81%,95.19MiB,1.938GiB,4.80%,46.1MB,45.6MB,0B,2.56MB,6
